season	episode	clip	text	label
S05	E16	329	apparently, teens are drinking the slushie stuff inside of these for the alcohol.	Inform
S06	E06	589	we are the manager.	Introduce
S06	E02	25	that is not true, marcus.	Oppose
S05	E16	219	eh, if i did, i'd have to change it on my debit card too.	Leave
S05	E19	506	yeah, he has, like, no respect for the permit.	Complain
S05	E10	325	how are things going over there?	Care
S05	E08	428	what is this you're sprinkling?	Care
S05	E12	358	it's the business that we were gonna start.	Introduce
S06	E07	601	you were a great roommate.	Praise
S04	E17	434	i actually just bought some stock in a drone company.	Inform
S05	E11	27	heather, you're in housewares.	Arrange
S05	E14	54	oh, okay. no worries.	Comfort
S05	E06	206	hey!	Greet
S04	E10	375	there's, like, eight of us, that's more of a walk.	Complain
S04	E08	105	hey, denise, these are friends of mine	Introduce
S05	E08	418	yes, of course!	Agree
S05	E08	149	hi, i'm amy sosa, store manager.	Introduce
S04	E03	388	how am i supposed to work checkout?	Complain
S06	E04	542	okay, all right, new rule: no one can be mad about whatever was said in this room, okay?	Inform
S05	E12	32	hey, guys, myrtle's nephew just came in	Inform
S04	E09	486	again, i'm sorry about the typo.	Apologise
S05	E08	537	yeah.	Agree
S05	E21	201	oh, we could get, like, a red bull fountain.	Advise
S04	E16	494	sandra, code cottontail.	Inform
S04	E13	472	you were the one who said he should be telling her.	Criticize
S05	E08	337	mateo, give him the gift card.	Arrange
S04	E03	84	this one smells like peanut butter.	Introduce
S05	E16	27	also there's a product locator, an inventory map	Inform
S05	E15	258	kira moon from zephra will be  surprising  us	Inform
S06	E05	74	yeah, you know, this is actually exactly	Agree
S05	E06	229	thank you.	Thank
S05	E17	95	oh, hey, glenn.	Greet
S05	E08	489	glenn, take this down. sandra, keep going.	Arrange
S05	E11	487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	Complain
S05	E07	189	anyone who ripped up their workbook has failed.	Inform
S04	E07	301	why didn't you just shout,  hey glenn	Complain
S05	E11	149	never forget how fun you are, jonah.	Taunt
S05	E13	15	um, and jonah and justine, you get to help out tomorrow when the rest of the shipment comes in.	Arrange
S05	E21	16	you're smart, hardworking	Praise
S05	E13	80	that's crazy. you can't do that.	Prevent
S04	E04	57	i'm doing very well.	Flaunt
S05	E07	34	great, thanks. also, did you know	Thank
S04	E09	398	and such a massive waste of time	Complain
S05	E07	603	so maybe marcus could join us?	Advise
S05	E08	126	you can donate to our toy drive.	Advise
S05	E18	328	and you've taken him to a doctor, and he's doing fine?	Care
S05	E10	491	sure, thanks.	Thank
S05	E11	256	but i could really use the help.	Ask for help
S05	E11	93	garrett, do you mind if i use your phone?	Ask for help
S04	E16	287	he's been spotted in the vicinity.	Inform
S06	E02	503	how's the search going?	Care
S05	E16	358	why don't you buy the dryer balls?	Advise
S05	E06	287	elias did a great job with the crepe paper, though.	Praise
S05	E09	182	don't worry about it.	Comfort
S04	E03	387	these customers are so handsome.	Praise
S05	E08	100	no, things are good.	Comfort
S05	E17	555	bye, jonah.	Leave
S04	E06	155	i've never been so tired.	Complain
S05	E08	17	hi, i'm mateo liwanag	Introduce
S06	E09	229	it's actually super distracting.	Complain
S05	E06	386	amazing. thank you, dina.	Thank
S05	E20	236	turn all the screens in electronics to mtv.	Arrange
S05	E13	216	okay, buddy, you're being weird.	Taunt
S05	E07	556	turt-turt, we're out of here.	Leave
S06	E06	26	no, it's that we no longer have to sanitize	Inform
S05	E09	440	yeah, yeah, you're good. you got this.	Praise
S06	E03	372	we can't trust him about anything.	Complain
S05	E09	428	i'm just checking to see if he and mateo are hitting it off.	Care
S04	E03	256	thank you for bringing that to my attention.	Thank
S06	E05	215	cool, let's all give credit to jonah for janet's idea.	Praise
S05	E14	493	i'm sorry.	Apologise
S05	E18	27	oh, my god, he's so cute. my ovaries are exploding.	Praise
S04	E08	91	the point is, sayid, you're home now.	Inform
